price_mod,lon,lat,days_on_site,m2,bathrooms,amenities,parking_lots,num_bedrooms,top_vendor
9000000.0,-99.1641821,19.421317300000002,5.0,127.0,2.0,3.0,2,2.0,False
4264000.0,-99.16354140000001,19.4210293,7.0,54.0,1.0,2.0,1,1.0,False
8093500.0,-99.1618723,19.4078138,4.0,163.0,3.0,0.0,2,3.0,False
4000000.0,-99.16024279999999,19.404992,150.0,93.0,2.0,2.0,1,2.0,False
6732700.0,-99.1560364,19.4196927,52.0,103.0,2.0,4.0,1,2.0,False
3200000.0,-99.1687004,19.4030201,120.0,67.0,1.0,3.0,1,2.0,False
9000000.0,-99.1641821,19.421317300000002,18.0,127.0,2.0,3.0,2,2.0,False
5550000.0,-99.1649286,19.411197899999998,31.0,112.0,2.0,0.0,1,2.0,False
10592361.0,-99.15579749999999,19.4210727,150.0,154.0,2.0,3.0,2,3.0,False
5300000.0,-99.15381059999999,19.4193053,55.0,100.0,2.0,4.0,2,2.0,False
10200000.0,-99.1636062,19.4043698,4.0,163.0,2.0,5.0,2,3.0,False
11050000.0,-99.1636062,19.4043698,4.0,180.0,2.0,5.0,2,3.0,False
9880000.0,-99.1636062,19.4043698,4.0,157.0,2.0,5.0,2,3.0,False
7010000.0,-99.1636062,19.4043698,4.0,111.0,2.0,5.0,2,3.0,False
6790000.0,-99.1636062,19.4043698,4.0,112.0,2.0,5.0,2,3.0,False
9670000.0,-99.1636062,19.4043698,4.0,149.0,2.0,5.0,2,3.0,False
7332973.0,-99.1636062,19.4043698,4.0,114.0,2.0,5.0,2,3.0,False
9859115.0,-99.16431850000001,19.409084699999998,3.0,145.0,2.0,4.0,1,2.0,False
3382500.0,-99.1636062,19.4043698,4.0,41.0,1.0,2.0,1,1.0,False
4515000.0,-99.1636062,19.4043698,4.0,54.0,1.0,2.0,1,1.0,False
4496000.0,-99.162549,19.419525600000004,4.0,56.0,1.0,2.0,1,1.0,False
5257500.0,-99.1636062,19.4043698,4.0,63.0,1.0,2.0,1,1.0,False
4102500.0,-99.1636062,19.4043698,4.0,49.0,1.0,2.0,1,1.0,False
3195000.0,-99.1636062,19.4043698,4.0,38.0,1.0,2.0,1,1.0,False
4061500.0,-99.16266359999999,19.4020904,6.0,84.0,2.0,4.0,1,2.0,False
3306533.0,-99.15479040000001,19.4127205,7.0,48.0,1.0,0.0,1,1.0,True
5399999.0,-99.1653045,19.4136591,3.0,89.0,2.0,4.0,1,2.0,False
4314445.0,-99.16431850000001,19.409084699999998,3.0,67.0,1.0,3.0,1,2.0,False
4996100.0,-99.16431850000001,19.409084699999998,3.0,74.0,2.0,4.0,1,2.0,False
4850000.0,-99.1690454,19.4052747,7.0,91.0,2.0,0.0,1,2.0,True
3615970.0,-99.1649891,19.405299,7.0,45.0,1.0,0.0,1,1.0,True
3395000.0,-99.1558187,19.4184344,7.0,60.0,1.0,0.0,1,1.0,True
4495000.0,-99.162549,19.419525600000004,7.0,86.0,2.0,0.0,1,3.0,True
5292000.0,-99.162549,19.419525600000004,7.0,81.0,2.0,0.0,1,2.0,True
2792170.0,-99.16520140000002,19.418153,8.0,37.0,1.0,0.0,1,1.0,False
3034124.0,-99.1649891,19.405299,7.0,48.0,1.0,0.0,1,1.0,True
9500000.0,-99.1649891,19.405299,7.0,176.0,3.0,0.0,1,2.0,True
8700000.0,-99.1649891,19.405299,7.0,126.0,3.0,0.0,2,2.0,True
4495000.0,-99.162549,19.419525600000004,7.0,86.0,2.0,0.0,1,3.0,True
12900000.0,-99.1596792,19.4158401,7.0,284.0,3.0,0.0,2,3.0,True
3995000.0,-99.162549,19.419525600000004,7.0,85.0,2.0,0.0,2,2.0,True
8500000.0,-99.162549,19.419525600000004,6.0,152.0,3.0,6.0,1,3.0,False
6195000.0,-99.1649891,19.405299,7.0,193.0,3.0,0.0,1,3.0,True
6042960.0,-99.1596531,19.4119026,2.0,97.0,2.0,4.0,2,2.0,False
5550000.0,-99.1649891,19.405299,7.0,111.0,2.0,0.0,1,2.0,True
5350000.0,-99.16914129999999,19.4301322,7.0,104.0,2.0,0.0,1,2.0,True
4495000.0,-99.162549,19.419525600000004,7.0,86.0,2.0,0.0,1,3.0,True
4495000.0,-99.162549,19.419525600000004,7.0,86.0,2.0,0.0,1,3.0,True
4495000.0,-99.162549,19.419525600000004,7.0,86.0,2.0,0.0,1,3.0,True
12900000.0,-99.162549,19.419525600000004,7.0,284.0,3.0,0.0,2,3.0,True
3595000.0,-99.162549,19.419525600000004,7.0,60.0,1.0,0.0,1,1.0,True
3395000.0,-99.1560364,19.4196927,7.0,60.0,1.0,0.0,1,1.0,True
3780000.0,-99.162549,19.419525600000004,7.0,57.0,1.0,0.0,1,1.0,True
5550000.0,-99.1649891,19.405299,7.0,111.0,2.0,0.0,1,2.0,True
4500000.0,-99.1637564,19.4057258,3.0,78.0,2.0,4.0,2,2.0,False
5393000.0,-99.162549,19.419525600000004,7.0,81.0,2.0,0.0,1,2.0,True
2595000.0,-99.162549,19.419525600000004,7.0,42.0,1.0,0.0,1,1.0,True
2862381.0,-99.1649891,19.405299,7.0,48.0,1.0,0.0,1,1.0,True
4495000.0,-99.162549,19.419525600000004,7.0,90.0,2.0,0.0,2,3.0,True
7040000.0,-99.1649891,19.405299,7.0,107.0,3.0,0.0,2,2.0,True
4455000.0,-99.162549,19.419525600000004,7.0,71.0,2.0,0.0,1,2.0,True
7040000.0,-99.1649891,19.405299,7.0,107.0,3.0,0.0,2,2.0,True
9935982.0,-99.1610013,19.4137406,7.0,163.0,2.0,0.0,2,2.0,True
3615979.0,-99.14951070000001,19.4356338,7.0,44.0,1.0,0.0,1,1.0,True
3615970.0,-99.14951070000001,19.4356338,7.0,44.0,1.0,0.0,1,1.0,True
4186666.0,-99.1649891,19.405299,6.0,78.0,2.0,4.0,1,2.0,False
2980000.0,-99.1653105,19.4161012,7.0,39.0,1.0,0.0,1,1.0,True
2980000.0,-99.1653105,19.4160872,7.0,39.0,1.0,0.0,1,1.0,True
2980000.0,-99.162549,19.419525600000004,7.0,39.0,1.0,0.0,1,1.0,True
4250000.0,-99.162549,19.419525600000004,7.0,67.0,2.0,0.0,1,1.0,True
3595000.0,-99.162549,19.419525600000004,7.0,60.0,1.0,0.0,1,1.0,True
2980000.0,-99.14951070000001,19.4356338,7.0,39.0,1.0,0.0,1,1.0,True
3395000.0,-99.162549,19.419525600000004,7.0,60.0,1.0,0.0,1,1.0,True
7962400.0,-99.162549,19.419525600000004,7.0,110.0,2.0,0.0,1,2.0,True
4495000.0,-99.1596792,19.4158401,7.0,90.0,2.0,0.0,2,3.0,True
3950000.0,-99.162549,19.419525600000004,7.0,57.0,1.0,0.0,1,1.0,True
4430000.0,-99.16525340000001,19.4229547,7.0,61.0,2.0,0.0,1,2.0,True
4913500.0,-99.16525340000001,19.4229547,7.0,86.0,2.0,0.0,1,2.0,True
2980000.0,-99.162549,19.419525600000004,7.0,39.0,1.0,0.0,1,1.0,True
8400000.0,-99.162549,19.419525600000004,7.0,122.0,3.0,0.0,1,2.0,True
8400000.0,-99.162549,19.419525600000004,7.0,122.0,3.0,0.0,1,2.0,True
4430000.0,-99.162549,19.419525600000004,7.0,61.0,1.0,0.0,1,1.0,True
4455000.0,-99.162549,19.419525600000004,7.0,71.0,2.0,0.0,1,2.0,True
3217500.0,-99.162549,19.419525600000004,4.0,39.0,1.0,2.0,1,1.0,False
3155000.0,-99.162549,19.419525600000004,4.0,38.0,1.0,2.0,1,1.0,False
6426000.0,-99.1649891,19.405299,7.0,111.0,2.0,0.0,2,3.0,True
5145000.0,-99.162549,19.419525600000004,7.0,91.0,2.0,0.0,1,2.0,True
3750000.0,-99.162549,19.419525600000004,7.0,57.0,1.0,0.0,1,1.0,True
4278000.0,-99.162549,19.419525600000004,7.0,67.0,2.0,0.0,1,1.0,True
